label,url,brand,name,skin_type,spf,concern,concern2,concern3,key_ingredient,formulation,image
face-moisturisers,https://www.myntra.com/face-moisturisers/lakme/lakme-absolute-perfect-radiance-skin-lightening-day-creme-15g/4384871/buy,Lakme,Absolute Perfect Radiance Skin Lightening Day Creme 15g,Combination,,General Care,,,,Cream,https://cdn.shopify.com/s/files/1/0398/1849/4111/products/Bio_morning_nector_skin_moisturiser.jpg?v=1620681625
face-moisturisers,https://www.myntra.com/face-moisturisers/biotique/biotique-bio-morning-nectar-flawless-sustainable-skin-moisturizer-190ml/1661465/buy,Biotique,Bio Morning Nectar Flawless Sustainable Skin Moisturizer 190ml,Combination,,Uneven Skin Tone,Hydration,Dark Spots,Honey,Lotion,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTjwTQe57sdxsSMu_VbSwwpsd1_CJ1pqSEmWpL31WED7Jf76fU2LO1XUvG5gRAsKzjq8x8&usqp=CAU
face-moisturisers,https://www.myntra.com/face-moisturisers/nivea/nivea-unisex-aloe-hydration-skin-cream-100-ml/8529167/buy,Nivea,Unisex Aloe Hydration Skin Cream 100 ml,All,,Dull Skin,Dryness,General Care,Aloe Vera,Cream,
face-moisturisers,https://www.myntra.com/face-moisturisers/vi-john/vi-john-women-set-of-5-saffron-fairness-cream-advanced/15390390/buy,VI-JOHN,Women Set of 5 Saffron Fairness Cream Advanced,All,15 to 30,Softening and Smoothening,Softening and Smoothening,Sun Protection,Vitamin E,Cream,
face-moisturisers,https://www.myntra.com/face-moisturisers/lakme/lakme--peach-milk-soft-creme-150g/7552207/buy,Lakme,Peach Milk Soft Creme 150g,Combination,,General Care,,,,Cream,https://www.laneige.com/th/th/product/__icsFiles/afieldfile/2020/01/31/radian-c-cream-01.png
face-moisturisers,https://www.myntra.com/face-moisturisers/biotique/biotique-bio-coconut-whitening--brightening-sustainable-cream-50g/1661415/buy,Biotique,Bio Coconut Whitening & Brightening Sustainable Cream 50g,Combination,,Uneven Skin Tone,Dull Skin,Hydration,Coconut,Cream,"https://media6.ppl-media.com/tr:h-750,w-750,c-at_max,dpr-2/static/img/product/8189/biotique-coconut-whitening-and-brightening-cream-50-g_1_display_1544693147_1d90a229.jpg"
face-moisturisers,https://www.myntra.com/face-moisturisers/lakme/lakme-absolute-women-perfect-radiance-skin-lightening-day-creme-50-g/1254169/buy,Lakme,Absolute Women Perfect Radiance Skin Lightening Day Creme 50 g,Normal,Below 15,General Care,,,,Cream,
face-moisturisers,https://www.myntra.com/face-moisturisers/laneige/laneige-radian-c-cream-30-ml/15078068/buy,LANEIGE,Radian-C Cream 30 ml,Combination,,Dark Spots,Uneven Skin Tone,,,Cream,https://www.laneige.com/th/th/product/__icsFiles/afieldfile/2020/01/31/radian-c-cream-01.png
face-moisturisers,https://www.myntra.com/face-moisturisers/biotique/biotique-bio-morning-nectar-flawless-sustainable-skin-lotion-120ml/1661472/buy,Biotique,Bio Morning Nectar Flawless Sustainable Skin Lotion 120ml,Combination,,Uneven Skin Tone,Hydration,Dark Spots,Honey,Lotion,https://m.media-amazon.com/images/I/614BwMiuMoL.jpg
face-moisturisers,https://www.myntra.com/face-moisturisers/nivea/nivea-soft-light-moisturizer-with-vitamin-e-100ml/2273976/buy,Nivea,Soft Light Moisturizer with Vitamin E 100ml,Combination,,General Care,Dryness,Softening and Smoothening,Vitamin E,Cream,https://pixiesmediapull-145ca.kxcdn.com/pub/media/catalog/product/cache/39500cf9d88472c26e1ec72addc15f3a/n/i/nivea-soft-light-moisturizer-for-face-hand-body-n_11_2.jpeg
face-moisturisers,https://www.myntra.com/face-moisturisers/biotique/biotique-vitamin-c-correcting-and-brightening-treatment-face-moisturizer-50-g/12679484/buy,Biotique,Vitamin C Correcting and Brightening Treatment Face Moisturizer 50 g,Normal,,General Care,Irregular Textures,Pigmentation,Vitamin C,Cream,"https://m.media-amazon.com/images/I/61OFVk+LGlL._AC_UF1000,1000_QL80_.jpg"
face-moisturisers,https://www.myntra.com/face-moisturisers/neutrogena/neutrogena-hydro-boost-emulsion-face-moisturisers-50-g/10337731/buy,Neutrogena,Hydro Boost Emulsion Face Moisturisers 50 g,Dry,50,General Care,,,"Water, Dimethicone, Glycerin, Cetearyl Olivate, Polyacrylamide, Sorbitan Olivate, Phenoxyethanol, Dimethicone/Vinyl Dimethicone Crosspolymer, Synthetic Beeswax, C13-14 Isoparaffin, Dimethiconol, Dimethicone Crosspolymer, Chlorphenesin, Laureth-7, Carbomer, Sodium Hyaluronate, Ethylhexylglycerin,",Cream,https://m.media-amazon.com/images/I/71Bd6+BQQnL._SL1500_.jpg
face-moisturisers,https://www.myntra.com/face-moisturisers/bewakoof-cosmos/bewakoof-cosmos-touch-of-universe-face-moisturizer-with-vitamin-e--magnesium--100gms/15360926/buy,BEWAKOOF COSMOS,Touch of Universe Face Moisturizer with Vitamin E & Magnesium -100gms,Normal,,Dryness,Skin Inflammation,Sun Protection,Vitamin E,Cream,
face-moisturisers,https://www.myntra.com/face-moisturisers/olay/olay-total-effects-7-in-one-day-cream-normal-spf-15---50g/13509836/buy,Olay,Total Effects 7 In One Day Cream Normal SPF 15 - 50g,Combination,15 to 30,Fine Lines and Wrinkles,Hydration,Softening and Smoothening,Vitamin C,Cream,https://www.theskinfit.com/uploads/product/Lifestyling_Curl_Perfectionist_150ml_-_2022-04-13T152135_285.png
face-moisturisers,https://www.myntra.com/face-moisturisers/lotus-herbals/lotus-herbals-women-white-glow-skin-whitening--brightening-nourishing-night-creme-40-g/11752736/buy,Lotus Herbals,Women White Glow Skin Whitening & Brightening Nourishing Night Creme 40 g,All,,Pigmentation,,,,Cream,
face-moisturisers,https://www.myntra.com/face-moisturisers/biotique/biotique-bio-wheat-germ-youthful-nourishing-night-sustainable-cream-50g/1661469/buy,Biotique,Bio Wheat Germ Youthful Nourishing Night Sustainable Cream 50g,Combination,,Dryness,Deep Nourishment,Dryness,Almond Oil,Cream,https://m.media-amazon.com/images/I/51J4Pb43DIL.jpg
face-moisturisers,https://www.myntra.com/face-moisturisers/mamaearth/mamaearth-bye-bye-blemishes-face-cream-30ml/11081528/buy,Mamaearth,Bye Bye Blemishes Face Cream 30ml,All,,Pigmentation,,,Vitamin E,Cream,
face-moisturisers,https://www.myntra.com/face-moisturisers/lotus-herbals/lotus-herbals-sustainable-white-glow-day-night-pack-with-facial-wash-60g--60g--100g/1353659/buy,Lotus Herbals,Sustainable White Glow Day Night Pack with Facial Wash 60g + 60g + 100g,Normal,,General Care,,,,Cream,
face-moisturisers,https://www.myntra.com/face-moisturisers/neutriderm/neutriderm-vitamin-e-moisturising-lotion-125ml/13176342/buy,Neutriderm,Vitamin E Moisturising Lotion 125ml,Combination,,General Care,,,,Lotion,https://m.media-amazon.com/images/I/81EHVQ8L-bL.jpg
face-moisturisers,https://www.myntra.com/face-moisturisers/good-vibes/good-vibes-revitalising-face-cream---green-tea-50-g/15283688/buy,Good Vibes,Revitalising Face Cream - Green Tea (50 g),All,,Softening and Smoothening,Hydration,Deep Nourishment,Green Tea,Cream,
face-moisturisers,https://www.myntra.com/face-moisturisers/olay/olay-regenerist-advanced-anti-ageing-micro-sculpting-cream-50-g/10444752/buy,Olay,Regenerist Advanced Anti-Ageing Micro-Sculpting Cream 50 g,Dry,,Fine Lines and Wrinkles,,,"Water, Glycerin, Isohexadecane, Niacinamide, Isopropyl Isostearate, Aluminum Starch Octenylsuccinate, Nylon-12, Dimethicone, Panthenol, Tocopheryl Acetate, Palmitoyl Pentapeptide-4, Sodium Peg-7 Olive Oil Carboxylate, Sodium Hyaluronate, Caprylic/Capric Triglyceride, Ceratonia Siliqua (Carob) Fruit Extract",Cream,"https://media6.ppl-media.com/tr:h-750,w-750,c-at_max,dpr-2/static/img/product/106866/olay-regenerist-advanced-anti-ageing-micro-sculpting-skin-cream-moisturizer-50-g_3_display_1513232013_86624a3d.jpg"
face-moisturisers,https://www.myntra.com/face-moisturisers/nivea/nivea-men-creme-for-face---body---hands-75-ml/2273979/buy,Nivea,Men Creme for Face - Body - Hands 75 ml,Combination,,General Care,Dull Skin,Dryness,Vitamin E,Cream,https://m.media-amazon.com/images/I/51J4Pb43DIL.jpg
face-moisturisers,https://www.myntra.com/face-moisturisers/ponds/ponds-women-non-oily-fresh-feel-light-moisturiser/7197046/buy,Ponds,Women Non-Oily Fresh Feel Light Moisturiser,All,,General Care,,,,Cream,
face-moisturisers,https://www.myntra.com/face-moisturisers/neutrogena/neutrogena-rapid-wrinkle-repair-night-moisturizer---29-ml/2427948/buy,Neutrogena,Rapid Wrinkle Repair Night Moisturizer - 29 ml,Combination,,Fine Lines and Wrinkles,Pigmentation,,Retinol,Cream,https://cdn.shopify.com/s/files/1/0485/2409/9735/products/images_32_c8f78a5b-c574-4537-8978-dbbd53b42b9f_600x600.jpg?v=1652078472
face-moisturisers,https://www.myntra.com/face-moisturisers/loreal/loreal-paris-white-perfect-whitening--even-tone-night-cream-50ml/236322/buy,LOreal,Paris White Perfect Whitening + Even Tone Night Cream 50ml,Combination,,Pigmentation,Blackheads and Whiteheads,,,Cream,https://www.hkarimbuksh.com/cdn/shop/products/loreal-pakistan-pvt-ltd-loreal-paris-white-perfect-night-cream-whitening-night-cream-50ml-6953129312385_600x600_crop_center.jpg?v=1629529864
face-moisturisers,https://www.myntra.com/face-moisturisers/skinkraft/skinkraft-women-oil-balance-moisturizer-for-slightly-oily-skin-45-ml/15345054/buy,SKINKRAFT,Women Oil Balance Moisturizer for Slightly Oily Skin 45 ml,Oily,,Fine Lines and Wrinkles,,,,Gel,https://m.media-amazon.com/images/I/51UzB+pWCWL.jpg
face-moisturisers,https://www.myntra.com/face-moisturisers/biotique/biotique-bio-white-advanced-fairness-treatment-sustainable-face-cream-50-g/2432712/buy,Biotique,Bio White Advanced Fairness Treatment Sustainable Face Cream 50 g,Combination,,Uneven Skin Tone,Hydration,,Lemon Juice,Cream,https://m.media-amazon.com/images/I/51ETgZIF8eL.jpg
face-moisturisers,https://www.myntra.com/face-moisturisers/loreal/loreal-paris-white-perfect-clinical-day-anti-spot-whitening-spf-19-pa-cream-50ml/135676/buy,LOreal,Paris White Perfect Clinical Day Anti Spot Whitening SPF 19 PA+++ Cream 50ml,Combination,15 to 30,Pigmentation,Dull Skin,Dark Spots,,Cream,"https://images-eu.ssl-images-amazon.com/images/I/41R3cIdXngL._AC_UL600_SR600,600_.jpg"
face-moisturisers,https://www.myntra.com/face-moisturisers/himalaya/himalaya-unisex-nourishing-skin-cream-100-ml/6627277/buy,,,,,,,,,,
face-moisturisers,https://www.myntra.com/face-moisturisers/lotus-herbals/lotus-herbals-sustainable-whiteglow-skin-tightening--brightening-gel-creme-with-spf-25-40g/1920200/buy,Lotus Herbals,Sustainable WhiteGlow Skin Tightening Brightening Gel Creme with SPF 25 40g,Combination,15 to 30,Softening and Smoothening,,,,Gel,"https://www.jiomart.com/images/product/original/491021867/lotus-herbals-whiteglow-skin-whitening-brightening-nourishing-night-cream-60-g-product-images-o491021867-p491021867-0-202203170409.jpg?im=Resize=(420,420)"
face-moisturisers,https://www.myntra.com/face-moisturisers/skinkraft/skinkraft-customized-moisturizer-for-oily-skin---45-ml/15345052/buy,SKINKRAFT,Customized Moisturizer For Oily Skin - 45 ml,Oily,,Excess Oil,Dark Circles,Hydration,,Gel,https://m.media-amazon.com/images/I/51Z8UWVBHwL.jpg
face-moisturisers,https://www.myntra.com/face-moisturisers/clinique/moisture-surge-100h-auto-replenishing-hydrator-15ml/13378346/buy,,,,,,,,,,
face-moisturisers,https://www.myntra.com/face-moisturisers/loreal/loreal-paris-revitalift-moisturizing-anti-ageing-night-cream-50ml/62002/buy,LOreal,Paris Revitalift Moisturizing Anti-ageing Night Cream 50ml,Normal,,Skin Sagging,Hydration,,Retinol,Cream,
face-moisturisers,https://www.myntra.com/face-moisturisers/lakme/lakme-peach-milk-moisturiser-with-spf-24-200ml/7197213/buy,Lakme,Peach Milk Moisturiser with SPF 24 200ml,Combination,15 to 30,General Care,,,,Lotion,https://images-static.nykaa.com/media/catalog/product/2/3/23137_h-8901030696329.jpg
